judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P1_target_rubric,0.28,0.0,25
gpt-4.1-mini,en-US,grammar,P0_direct_english,P1_target_rubric,0.2,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P1_target_rubric,0.48,0.0,25
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P1_target_rubric,0.2,0.0,25
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P1_target_rubric,0.4,0.0,25
gpt-4.1-mini,tr,grammar,P0_direct_english,P1_target_rubric,0.48,0.0,25
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P1_target_rubric,0.56,1.0,25
gpt-4.1-mini,vi,grammar,P0_direct_english,P1_target_rubric,0.76,1.0,25
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P2_explicit_pivot,0.36,0.0,25
gpt-4.1-mini,en-US,grammar,P0_direct_english,P2_explicit_pivot,0.12,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P2_explicit_pivot,0.8,0.0,25
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P2_explicit_pivot,0.92,1.0,25
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P2_explicit_pivot,1.04,1.0,25
gpt-4.1-mini,tr,grammar,P0_direct_english,P2_explicit_pivot,0.84,1.0,25
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P2_explicit_pivot,0.96,1.0,25
gpt-4.1-mini,vi,grammar,P0_direct_english,P2_explicit_pivot,0.84,1.0,25
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P3_bilingual,0.2,0.0,25
gpt-4.1-mini,en-US,grammar,P0_direct_english,P3_bilingual,0.24,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P3_bilingual,0.2,0.0,25
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P3_bilingual,0.2,0.0,25
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P3_bilingual,0.2,0.0,25
gpt-4.1-mini,tr,grammar,P0_direct_english,P3_bilingual,0.28,0.0,25
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P3_bilingual,0.16,0.0,25
gpt-4.1-mini,vi,grammar,P0_direct_english,P3_bilingual,0.24,0.0,25
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.56,1.0,25
gpt-4.1-mini,en-US,grammar,P1_target_rubric,P2_explicit_pivot,0.24,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.64,0.0,25
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,P2_explicit_pivot,0.8,0.0,25
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,P2_explicit_pivot,1.04,1.0,25
gpt-4.1-mini,tr,grammar,P1_target_rubric,P2_explicit_pivot,0.84,1.0,25
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.72,0.0,25
gpt-4.1-mini,vi,grammar,P1_target_rubric,P2_explicit_pivot,0.8,1.0,25
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,P3_bilingual,0.32,0.0,25
gpt-4.1-mini,en-US,grammar,P1_target_rubric,P3_bilingual,0.28,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,P3_bilingual,0.36,0.0,25
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,P3_bilingual,0.24,0.0,25
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,P3_bilingual,0.36,0.0,25
gpt-4.1-mini,tr,grammar,P1_target_rubric,P3_bilingual,0.28,0.0,25
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,P3_bilingual,0.48,0.0,25
gpt-4.1-mini,vi,grammar,P1_target_rubric,P3_bilingual,0.6,1.0,25
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,P3_bilingual,0.24,0.0,25
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,P3_bilingual,0.28,0.0,25
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,P3_bilingual,0.76,0.0,25
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,P3_bilingual,0.88,0.0,25
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,P3_bilingual,1.16,1.0,25
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,P3_bilingual,0.8,1.0,25
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,P3_bilingual,0.96,1.0,25
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,P3_bilingual,0.84,1.0,25
