judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,4.066666666666666,3.966666666666667,-0.1,0.16666666666666666,0.16666666666666666,0.0,-0.06945910360672303,-0.3017991967055235,0.17592694327626565,0.2525987525987526,-0.07777777777777783,-0.19909502262443435,0.03703703703703709,0.109
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,4.066666666666666,3.8666666666666667,-0.2,0.2,0.2,0.0,0.010824420344834274,-0.27625416522016716,0.3016867325876141,0.519,0.004444444444444473,-0.125,0.13617104828042328,0.521
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,4.066666666666666,3.8666666666666667,-0.2,0.2,0.2,0.0,0.08300593640456283,-0.13676895041584092,0.3329183519991868,0.7177177177177178,0.015555555555555545,-0.10724206349206344,0.14253393665158365,0.585
gpt-4o-mini,en-de,translation_quality,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,3.966666666666667,3.8666666666666667,-0.1,0.16666666666666666,0.16666666666666666,0.0,0.0802835239515573,-0.1829670917960743,0.3195734139277664,0.7525987525987526,0.08222222222222231,-0.04242700145249489,0.2125115740740741,0.896
gpt-4o-mini,en-de,translation_quality,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,3.966666666666667,3.8666666666666667,-0.1,0.1,0.1,0.0,0.15246504001128586,0.0,0.3423447630972273,0.9519832985386222,0.09333333333333338,0.0,0.20002232142857138,0.959
gpt-4o-mini,en-de,translation_quality,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,3.8666666666666667,3.8666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.0,0.07218151605972856,-0.13059128557683933,0.3229623272883017,0.6756756756756757,0.011111111111111072,-0.10223363095238094,0.1339285714285714,0.54
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,3.6666666666666665,3.7666666666666666,0.1,0.16666666666666666,0.16666666666666666,0.0,0.1552344501582779,-0.11354039169664464,0.46187607902983857,0.834,0.07555555555555549,-0.0430622009569378,0.19648197197539294,0.866
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,3.6666666666666665,3.6666666666666665,0.0,0.06666666666666667,0.06666666666666667,0.0,-0.030060452254114772,-0.208950807717397,0.12169914008479052,0.322,-0.008888888888888946,-0.09581259612098422,0.061121323529411735,0.302
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,3.6666666666666665,3.6,-0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,-0.005869953357759,-0.21249665122818445,0.17465959354997568,0.435,0.0022222222222222365,-0.09375,0.08732492997198879,0.462
gpt-4o-mini,en-ru,translation_quality,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,3.7666666666666666,3.6666666666666665,-0.1,0.1,0.1,0.0,-0.18529490241239266,-0.41262715624863244,0.0,0.0,-0.08444444444444443,-0.18518725198412703,0.0,0.0
gpt-4o-mini,en-ru,translation_quality,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,3.7666666666666666,3.6,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,-0.1611044035160369,-0.41143440821610056,0.06126922596071256,0.082,-0.07333333333333325,-0.1921708864965444,0.03572640594699415,0.092
gpt-4o-mini,en-ru,translation_quality,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,3.6666666666666665,3.6,-0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.024190498896355772,-0.11479752217202785,0.19886626346505148,0.527,0.011111111111111183,-0.06000000000000005,0.09375,0.528
gpt-4o-mini,zh-en,translation_quality,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,3.533333333333333,3.533333333333333,0.0,0.5333333333333333,0.43333333333333335,0.06666666666666667,-0.05064450004380272,-0.37882268278081477,0.3081647781639891,0.36,-0.02444444444444449,-0.22667129629629632,0.17728578610931545,0.377
