judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,50,3.0,2.5,-0.5,0.54,0.5,0.04,-0.031917167563535465,-0.15356175253244145,0.0909901352759251,0.319,-0.02959999999999996,-0.09615885416666665,0.036247561315496134,0.2
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,50,3.0,3.3,0.3,0.38,0.36,0.02,-0.0203638780188391,-0.11279316381924354,0.0655060047172927,0.31,-0.012800000000000034,-0.06720269230769234,0.03543391994478944,0.299
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,50,3.0,2.92,-0.08,0.24,0.24,0.0,-0.029765883364687107,-0.1344110383610589,0.09167954622166301,0.32,-0.020000000000000018,-0.09179643952062437,0.04752415458937195,0.279
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,50,2.5,3.3,0.8,0.88,0.62,0.24,0.011553289544696366,-0.12211222308277675,0.15686114757533703,0.552,0.016799999999999926,-0.060834415584415547,0.09999999999999998,0.665
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,50,2.5,2.92,0.42,0.54,0.46,0.08,0.0021512841988483578,-0.15354915938940505,0.17164480419151903,0.528,0.009599999999999942,-0.08815167069243159,0.10796401515151521,0.58
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,50,3.3,2.92,-0.38,0.42,0.4,0.02,-0.009402005345848008,-0.09521167142895018,0.06829438326712323,0.414,-0.007199999999999984,-0.053153741638796,0.036480316558441576,0.374
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,50,3.84,3.24,-0.6,0.6,0.58,0.02,0.03895777705084619,-0.10160616244607316,0.17370734859466141,0.707,0.011199999999999988,-0.060842499999999966,0.08083573717948715,0.627
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,50,3.84,4.14,0.3,0.34,0.34,0.0,0.03709368403903335,-0.09765647866946613,0.17342125031517258,0.716,0.0024000000000000687,-0.07471148643023642,0.07958982945395988,0.529
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,50,3.84,3.88,0.04,0.12,0.12,0.0,0.05748672961621515,-0.040298398783622506,0.17080561129672464,0.869,0.030400000000000094,-0.020950628019323656,0.09135416666666667,0.851
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,50,3.24,4.14,0.9,0.94,0.84,0.1,-0.0018640930118128396,-0.1224755090241279,0.10945255009571407,0.46,-0.008799999999999919,-0.06980469243400286,0.048112824675324586,0.385
