judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.0,0.7311803351978154,0.56647403749653,0.8393293646341066,0.9104,0.00276855
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,2.5,0.69926316763428,0.5162983674778089,0.8360661405882811,0.8808,0.0026059499999999997
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,3.3,0.7108164571789763,0.5528415007942429,0.8296260186916696,0.8976,0.00299055
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,2.92,0.7014144518331283,0.5282527839200609,0.8264675897196664,0.8904,0.0030544500000000002
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.84,0.3274330871068557,0.05689146674257327,0.5808165957290332,0.6808,0.0027115499999999996
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,3.24,0.3663908641577019,0.10852350882420465,0.6155673520753246,0.692,0.00250305
gpt-4o-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,4.14,0.36452677114588905,0.10577298051910353,0.6120824622927018,0.6832,0.00292575
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,3.88,0.38491981672307085,0.11457470927979696,0.6353089721666968,0.7112,0.00300165
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,50,50,1.0,0.5,2.78,0.6522501509697184,0.4326667036500456,0.8072560735849079,0.864,0.0028371000000000004
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,2.28,0.5888092841124322,0.36293846237847166,0.7549932178346799,0.8272,0.0028922999999999996
gpt-4o-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,2.52,0.5269460854986353,0.29908462305168426,0.7101834585321171,0.7928,0.00303075
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,2.56,0.5618447218986966,0.31288724776169624,0.7560129944839404,0.8088,0.0032844000000000003
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.84,0.18834646603491703,-0.10896032705208082,0.44827341353857947,0.604,0.0027088499999999996
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,3.32,0.16559973341353088,-0.13719317421783117,0.41601881273988345,0.5848,0.00287535
gpt-4o-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,3.48,0.28864507191282684,0.015184402931250745,0.5613865034794211,0.6616,0.00297015
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,3.72,0.19508446456949485,-0.09200783195793819,0.45595563585980425,0.608,0.0032413499999999996
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,50,50,1.0,0.5,2.78,0.6029760787060543,0.3599494341537312,0.7768448197856277,0.836,0.0031005
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,2.44,0.5555769469799684,0.31637465185499863,0.7513233263237304,0.8104,0.0035612999999999994
gpt-4o-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,2.88,0.33107982555709914,0.054136985659960044,0.5922750420460584,0.6864,0.0030763500000000003
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,2.6,0.5748058717996145,0.3378546250087046,0.7726858028384938,0.8224,0.0037008
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.46,-0.021612957826768996,-0.3018008133533865,0.2661763722796546,0.488,0.00283605
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,3.06,-0.08835931601381247,-0.3655329290931577,0.20653057833921284,0.4536,0.00332505
gpt-4o-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,3.78,-0.0756969454351321,-0.35889524844104126,0.19347511563108252,0.4584,0.0029904
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,3.28,-0.07150652014631546,-0.35955249643621234,0.22343201371606866,0.4616,0.00352005
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.2,0.3491139942160784,0.09507682977528575,0.6141320606888149,0.6904,0.0028977
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,2.78,0.16437738472668725,-0.11041276302182741,0.4309830277953486,0.5896,0.0033261
gpt-4o-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,3.0,0.0855464128311924,-0.18226761624202434,0.36871664622488526,0.548,0.00300915
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,3.24,0.39935350439993644,0.1647874408872717,0.6245352024888836,0.7136,0.0034547999999999996
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,50,50,1.0,0.5,3.5,0.2314348127721583,-0.056970996681004506,0.4812524027275997,0.6216,0.00282975
gpt-4o-mini,vi,grammar,P1_target_rubric,Target-language rubric,50,50,1.0,0.5,2.84,0.2542566904654913,0.003106725891168536,0.5046956371501562,0.628,0.00333285
gpt-4o-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,50,50,1.0,0.5,3.68,0.01591822461443678,-0.26895431088938865,0.295148977290505,0.5088,0.00298695
gpt-4o-mini,vi,grammar,P3_bilingual,Bilingual rubric,50,50,1.0,0.5,3.52,0.09785688325353771,-0.19007346670027503,0.39033110628099144,0.5504,0.0035626499999999997
