judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,calibration,8,0.3,4,2,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.4,0.75,0.35
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,test,22,0.3,4,2,0.75,0.45454545454545453,0.7272727272727273,0.27272727272727276,0.45454545454545453,0.7272727272727273,0.27272727272727276,,0.7692307692307692,
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6,
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,test,22,0.3,4,2,0.5,0.5,0.8181818181818182,0.31818181818181823,0.5,0.8181818181818181,0.3181818181818181,,0.7999999999999999,
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.875,0.625,0.875,0.25,0.625,0.875,0.25,0.4,0.888888888888889,0.48888888888888893
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,2,0.875,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.16666666666666669,0.7272727272727273,0.5606060606060606
gpt-4o-mini,es-ES,main_ideas,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.75,0.375,0.75,0.375,0.375,0.75,0.375,,0.75,
gpt-4o-mini,es-ES,main_ideas,P3_bilingual,Bilingual rubric,test,22,0.3,4,2,0.75,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.16666666666666669,0.7272727272727273,0.5606060606060606
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,calibration,8,0.3,4,2,0.875,0.5,0.875,0.375,0.5,0.875,0.375,,0.888888888888889,
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,test,22,0.3,4,2,0.875,0.5454545454545454,0.5909090909090909,0.045454545454545525,0.5454545454545454,0.5909090909090909,0.045454545454545525,0.16666666666666669,0.6666666666666666,0.49999999999999994
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,2,0.75,0.625,0.75,0.125,0.625,0.75,0.125,0.4,0.8,0.4
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,test,22,0.3,4,2,0.75,0.5,0.6363636363636364,0.13636363636363635,0.5,0.6363636363636364,0.13636363636363635,,0.7333333333333334,
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.75,0.5,0.75,0.25,0.5,0.75,0.25,,0.8,
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,2,0.75,0.5,0.5909090909090909,0.09090909090909094,0.5,0.5909090909090909,0.09090909090909094,,0.64,
gpt-4o-mini,tr,main_ideas,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.75,0.5,0.75,0.25,0.5,0.75,0.25,,0.75,
gpt-4o-mini,tr,main_ideas,P3_bilingual,Bilingual rubric,test,22,0.3,4,2,0.75,0.5454545454545454,0.7727272727272727,0.2272727272727273,0.5454545454545454,0.7727272727272727,0.2272727272727273,0.16666666666666669,0.8148148148148148,0.6481481481481481
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,calibration,8,0.3,4,2,0.625,0.5,0.625,0.125,0.5,0.625,0.125,,0.7272727272727273,
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,test,22,0.3,4,2,0.625,0.45454545454545453,0.5909090909090909,0.1363636363636364,0.4545454545454546,0.5909090909090909,0.13636363636363635,0.25000000000000006,0.7096774193548387,0.4596774193548387
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,calibration,8,0.3,4,4,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.4,0.4,0.0
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,test,22,0.3,4,4,0.625,0.5,0.5,0.0,0.5,0.5,0.0,0.26666666666666666,0.26666666666666666,0.0
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,8,0.3,4,2,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.4,0.7272727272727273,0.32727272727272727
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,Explicit English pivot,test,22,0.3,4,2,0.625,0.45454545454545453,0.45454545454545453,0.0,0.4545454545454546,0.45454545454545453,-5.551115123125783e-17,0.14285714285714288,0.5384615384615385,0.39560439560439564
gpt-4o-mini,vi,main_ideas,P3_bilingual,Bilingual rubric,calibration,8,0.3,4,2,0.625,0.375,0.625,0.25,0.375,0.625,0.25,,0.6666666666666665,
gpt-4o-mini,vi,main_ideas,P3_bilingual,Bilingual rubric,test,22,0.3,4,2,0.625,0.5909090909090909,0.6363636363636364,0.045454545454545414,0.5909090909090909,0.6363636363636364,0.045454545454545414,0.4705882352941177,0.7333333333333334,0.2627450980392157
