judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P1_target_rubric,0.4,0.0,30
gpt-4o-mini,tr,main_ideas,P0_direct_english,P1_target_rubric,0.26666666666666666,0.0,30
gpt-4o-mini,vi,main_ideas,P0_direct_english,P1_target_rubric,0.4666666666666667,0.0,30
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P2_explicit_pivot,0.23333333333333334,0.0,30
gpt-4o-mini,tr,main_ideas,P0_direct_english,P2_explicit_pivot,0.3333333333333333,0.0,30
gpt-4o-mini,vi,main_ideas,P0_direct_english,P2_explicit_pivot,0.23333333333333334,0.0,30
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P3_bilingual,0.23333333333333334,0.0,30
gpt-4o-mini,tr,main_ideas,P0_direct_english,P3_bilingual,0.23333333333333334,0.0,30
gpt-4o-mini,vi,main_ideas,P0_direct_english,P3_bilingual,0.2,0.0,30
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,P2_explicit_pivot,0.23333333333333334,0.0,30
gpt-4o-mini,tr,main_ideas,P1_target_rubric,P2_explicit_pivot,0.4,0.0,30
gpt-4o-mini,vi,main_ideas,P1_target_rubric,P2_explicit_pivot,0.7,1.0,30
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,P3_bilingual,0.16666666666666666,0.0,30
gpt-4o-mini,tr,main_ideas,P1_target_rubric,P3_bilingual,0.23333333333333334,0.0,30
gpt-4o-mini,vi,main_ideas,P1_target_rubric,P3_bilingual,0.6666666666666666,1.0,30
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,P3_bilingual,0.13333333333333333,0.0,30
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,P3_bilingual,0.23333333333333334,0.0,30
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,P3_bilingual,0.3,0.0,30
