run,language,dimension,protocol,n,mean_score,mean_score_human_positive,mean_score_human_negative,score_separation_pos_minus_neg,predicted_good_rate_threshold_4,positive_good_rate_threshold_4,negative_good_rate_threshold_4,balanced_accuracy_threshold_4,best_in_group_threshold,best_in_group_balanced_accuracy
candidate n50,en-US,comprehensibility,P0_direct_english,50,3.0,3.92,2.08,1.8399999999999999,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,en-US,comprehensibility,P1_target_rubric,50,2.5,3.12,1.88,1.2400000000000002,0.18,0.32,0.04,0.64,3,0.8600000000000001
candidate n50,en-US,comprehensibility,P2_explicit_pivot,50,3.3,4.32,2.28,2.0400000000000005,0.54,0.84,0.24,0.8,4,0.8
candidate n50,en-US,comprehensibility,P3_bilingual,50,2.92,3.76,2.08,1.6799999999999997,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,en-US,grammar,P0_direct_english,50,3.84,4.2,3.48,0.7200000000000002,0.68,0.84,0.52,0.6599999999999999,4,0.6599999999999999
candidate n50,en-US,grammar,P1_target_rubric,50,3.24,3.56,2.92,0.6400000000000001,0.54,0.72,0.36,0.6799999999999999,4,0.6799999999999999
candidate n50,en-US,grammar,P2_explicit_pivot,50,4.14,4.56,3.72,0.8399999999999994,0.74,0.88,0.6,0.64,5,0.68
candidate n50,en-US,grammar,P3_bilingual,50,3.88,4.28,3.48,0.8000000000000003,0.72,0.88,0.56,0.66,4,0.66
candidate n50,es-ES,comprehensibility,P0_direct_english,50,2.78,3.68,1.88,1.8000000000000003,0.42,0.72,0.12,0.8,3,0.8
candidate n50,es-ES,comprehensibility,P1_target_rubric,50,2.28,2.92,1.64,1.28,0.2,0.36,0.04,0.6599999999999999,3,0.76
candidate n50,es-ES,comprehensibility,P2_explicit_pivot,50,2.52,3.24,1.8,1.4400000000000002,0.3,0.52,0.08,0.72,3,0.76
candidate n50,es-ES,comprehensibility,P3_bilingual,50,2.56,3.24,1.88,1.3600000000000003,0.36,0.64,0.08,0.78,4,0.78
candidate n50,es-ES,grammar,P0_direct_english,50,3.84,4.04,3.64,0.3999999999999999,0.68,0.76,0.6,0.5800000000000001,4,0.5800000000000001
candidate n50,es-ES,grammar,P1_target_rubric,50,3.32,3.48,3.16,0.31999999999999984,0.62,0.68,0.56,0.56,3,0.56
candidate n50,es-ES,grammar,P2_explicit_pivot,50,3.48,3.84,3.12,0.7199999999999998,0.58,0.72,0.44,0.64,4,0.64
candidate n50,es-ES,grammar,P3_bilingual,50,3.72,3.92,3.52,0.3999999999999999,0.66,0.72,0.6,0.56,5,0.6000000000000001
candidate n50,tr,comprehensibility,P0_direct_english,50,2.78,3.6,1.96,1.6400000000000001,0.42,0.76,0.08,0.8400000000000001,4,0.8400000000000001
candidate n50,tr,comprehensibility,P1_target_rubric,50,2.44,3.12,1.76,1.36,0.26,0.52,0.0,0.76,3,0.78
candidate n50,tr,comprehensibility,P2_explicit_pivot,50,2.88,3.4,2.36,1.04,0.38,0.56,0.2,0.68,3,0.72
candidate n50,tr,comprehensibility,P3_bilingual,50,2.6,3.36,1.84,1.5199999999999998,0.32,0.6,0.04,0.78,3,0.8
candidate n50,tr,grammar,P0_direct_english,50,3.46,3.4,3.52,-0.1200000000000001,0.58,0.6,0.56,0.52,4,0.52
candidate n50,tr,grammar,P1_target_rubric,50,3.06,2.96,3.16,-0.20000000000000018,0.5,0.48,0.52,0.48,5,0.5
candidate n50,tr,grammar,P2_explicit_pivot,50,3.78,3.64,3.92,-0.2799999999999998,0.66,0.64,0.68,0.48,5,0.48000000000000004
candidate n50,tr,grammar,P3_bilingual,50,3.28,3.16,3.4,-0.23999999999999977,0.6,0.56,0.64,0.46,5,0.54
candidate n50,vi,comprehensibility,P0_direct_english,50,3.2,3.52,2.88,0.6400000000000001,0.44,0.6,0.28,0.6599999999999999,4,0.6599999999999999
candidate n50,vi,comprehensibility,P1_target_rubric,50,2.78,2.92,2.64,0.2799999999999998,0.26,0.32,0.2,0.56,3,0.5800000000000001
candidate n50,vi,comprehensibility,P2_explicit_pivot,50,3.0,3.08,2.92,0.16000000000000014,0.34,0.36,0.32,0.52,3,0.5800000000000001
candidate n50,vi,comprehensibility,P3_bilingual,50,3.24,3.64,2.84,0.8000000000000003,0.54,0.72,0.36,0.6799999999999999,4,0.6799999999999999
candidate n50,vi,grammar,P0_direct_english,50,3.5,3.68,3.32,0.3600000000000003,0.62,0.72,0.52,0.6,4,0.6
candidate n50,vi,grammar,P1_target_rubric,50,2.84,3.0,2.68,0.31999999999999984,0.12,0.2,0.04,0.58,3,0.5800000000000001
candidate n50,vi,grammar,P2_explicit_pivot,50,3.68,3.64,3.72,-0.08000000000000007,0.68,0.6,0.76,0.42,5,0.5800000000000001
candidate n50,vi,grammar,P3_bilingual,50,3.52,3.56,3.48,0.08000000000000007,0.66,0.68,0.64,0.52,5,0.58
semantic n30,es-ES,main_ideas,P0_direct_english,30,1.9,2.2666666666666666,1.5333333333333334,0.7333333333333332,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5,2,0.7333333333333334
semantic n30,es-ES,main_ideas,P1_target_rubric,30,1.5666666666666667,1.8,1.3333333333333333,0.4666666666666668,0.0,0.0,0.0,0.5,2,0.7333333333333333
semantic n30,es-ES,main_ideas,P2_explicit_pivot,30,1.7333333333333334,2.1333333333333333,1.3333333333333333,0.8,0.06666666666666667,0.13333333333333333,0.0,0.5666666666666667,2,0.7666666666666666
semantic n30,es-ES,main_ideas,P3_bilingual,30,1.6666666666666667,1.9333333333333333,1.4,0.5333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5,2,0.7333333333333333
semantic n30,tr,main_ideas,P0_direct_english,30,1.8666666666666667,2.2,1.5333333333333334,0.6666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.6666666666666667
semantic n30,tr,main_ideas,P1_target_rubric,30,1.9333333333333333,2.2,1.6666666666666667,0.5333333333333334,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.6666666666666666
semantic n30,tr,main_ideas,P2_explicit_pivot,30,1.7333333333333334,1.9333333333333333,1.5333333333333334,0.3999999999999999,0.0,0.0,0.0,0.5,2,0.6333333333333333
semantic n30,tr,main_ideas,P3_bilingual,30,1.7666666666666666,2.1333333333333333,1.4,0.7333333333333334,0.03333333333333333,0.06666666666666667,0.0,0.5333333333333333,2,0.7666666666666666
semantic n30,vi,main_ideas,P0_direct_english,30,2.433333333333333,2.533333333333333,2.3333333333333335,0.19999999999999973,0.16666666666666666,0.13333333333333333,0.2,0.4666666666666667,2,0.6
semantic n30,vi,main_ideas,P1_target_rubric,30,2.7,2.8,2.6,0.19999999999999973,0.16666666666666666,0.2,0.13333333333333333,0.5333333333333333,3,0.5666666666666667
