judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,2.8,0.7811813405605842,0.5718629313111772,0.8961437393803826,0.94,0.0011071499999999999
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.45,0.7381697985827572,0.5288504649336601,0.8843316712653004,0.91,0.00102855
gpt-4o-mini,en-US,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,3.25,0.758747132551668,0.528398676813641,0.8958153619281767,0.925,0.00114795
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,2.75,0.6465790872963897,0.30967994769782703,0.8964578108461413,0.86,0.00122055
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.85,0.6655643421934013,0.3419881559534967,0.8760685393495663,0.865,0.0011076
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.25,0.6139300933573846,0.22941215162951076,0.8534342165028206,0.835,0.0010548
gpt-4o-mini,en-US,grammar,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,4.35,0.7174300539794393,0.4625975338685247,0.959534660947681,0.85,0.0011454
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.85,0.7162166238089206,0.5323085379921035,0.8791252737228059,0.88,0.0012228
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,2.8,0.8689858667418652,0.7651674479899458,0.9252500871578775,0.985,0.00116595
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.25,0.7551912507939015,0.5802800470819484,0.8970767352518508,0.91,0.00119295
gpt-4o-mini,es-ES,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,3.2,0.8884064287453961,0.7926064775416674,0.9164578621646277,1.0,0.00121875
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,2.7,0.8980265101338746,0.8014559990398114,0.9304741052164806,1.0,0.0013507500000000002
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,4.15,-0.06172133998483677,-0.5246670571260724,0.4688138510917188,0.47,0.0010660499999999998
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.7,-0.2732971972499743,-0.6637464658618543,0.18600805664113448,0.39,0.0011290499999999997
gpt-4o-mini,es-ES,grammar,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,4.65,-0.03244428422615251,-0.46647190441353054,0.4303669393601685,0.485,0.00112245
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,4.1,-0.061688709086449876,-0.5220746538362461,0.4688138510917188,0.47,0.00128925
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.1,0.8851160797344585,0.7508801125323441,0.9534625892455924,0.985,0.00119355
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.5,0.5235703144047361,0.1266643867598328,0.7866164175446061,0.78,0.00140835
gpt-4o-mini,tr,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,20,18,0.9,0.5555555555555556,3.5555555555555554,0.763801582312355,0.5786846296295837,0.9074350754562652,0.9125,0.00123915
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.0,0.6900535580978322,0.3207475804554061,0.9296222517045284,0.87,0.00143655
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.75,0.37759562539695074,-0.01904439929139491,0.712980460455279,0.705,0.0011754
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.2,0.32126980205784317,-0.08696613773338255,0.6925036992815345,0.67,0.0014142
gpt-4o-mini,tr,grammar,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,3.9,0.2921186973360886,-0.13135236860364535,0.6663952524291047,0.66,0.0012216
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.6,0.49040905766649145,0.15674192048586585,0.7309919130229023,0.74,0.0014495999999999999
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.05,0.268105094842194,-0.16574882654441594,0.6935325672400349,0.645,0.0011902500000000001
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.8,0.3471803907281875,-0.08690183810311675,0.7374689619460413,0.69,0.0013636499999999999
gpt-4o-mini,vi,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,20,20,1.0,0.5,3.75,0.09072184232530288,-0.35740632726511723,0.5486019209136164,0.55,0.0012304500000000001
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.15,0.2770082609640654,-0.15800188854096692,0.712375917710291,0.645,0.00141825
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.3,-0.09316949906249124,-0.5272362522030456,0.297446892283654,0.45,0.0011870999999999997
