judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P1_target_rubric,0.08333333333333333,0.0,12
gpt-4.1-mini,en-US,grammar,P0_direct_english,P1_target_rubric,0.25,0.0,12
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P1_target_rubric,0.5,0.5,12
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P1_target_rubric,0.75,0.0,12
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P1_target_rubric,0.3333333333333333,0.0,12
gpt-4.1-mini,tr,grammar,P0_direct_english,P1_target_rubric,0.08333333333333333,0.0,12
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P1_target_rubric,0.4166666666666667,0.0,12
gpt-4.1-mini,vi,grammar,P0_direct_english,P1_target_rubric,0.5833333333333334,0.5,12
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P2_explicit_pivot,0.16666666666666666,0.0,12
gpt-4.1-mini,en-US,grammar,P0_direct_english,P2_explicit_pivot,0.3333333333333333,0.0,12
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P2_explicit_pivot,0.4166666666666667,0.0,12
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P2_explicit_pivot,1.3333333333333333,1.0,12
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P2_explicit_pivot,1.4166666666666667,1.0,12
gpt-4.1-mini,tr,grammar,P0_direct_english,P2_explicit_pivot,0.5,0.0,12
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P2_explicit_pivot,0.75,1.0,12
gpt-4.1-mini,vi,grammar,P0_direct_english,P2_explicit_pivot,0.6666666666666666,0.5,12
gpt-4.1-mini,en-US,comprehensibility,P0_direct_english,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,en-US,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,12
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,es-ES,grammar,P0_direct_english,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,tr,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,12
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,P3_bilingual,0.4166666666666667,0.0,12
gpt-4.1-mini,vi,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,12
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.25,0.0,12
gpt-4.1-mini,en-US,grammar,P1_target_rubric,P2_explicit_pivot,0.4166666666666667,0.0,12
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.4166666666666667,0.0,12
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,P2_explicit_pivot,0.5833333333333334,0.0,12
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,P2_explicit_pivot,1.4166666666666667,1.0,12
gpt-4.1-mini,tr,grammar,P1_target_rubric,P2_explicit_pivot,0.4166666666666667,0.0,12
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.5,0.0,12
gpt-4.1-mini,vi,grammar,P1_target_rubric,P2_explicit_pivot,0.75,0.5,12
gpt-4.1-mini,en-US,comprehensibility,P1_target_rubric,P3_bilingual,0.16666666666666666,0.0,12
gpt-4.1-mini,en-US,grammar,P1_target_rubric,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,P3_bilingual,0.6666666666666666,0.5,12
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,P3_bilingual,0.08333333333333333,0.0,12
gpt-4.1-mini,tr,grammar,P1_target_rubric,P3_bilingual,0.08333333333333333,0.0,12
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,P3_bilingual,0.3333333333333333,0.0,12
gpt-4.1-mini,vi,grammar,P1_target_rubric,P3_bilingual,0.4166666666666667,0.0,12
gpt-4.1-mini,en-US,comprehensibility,P2_explicit_pivot,P3_bilingual,0.25,0.0,12
gpt-4.1-mini,en-US,grammar,P2_explicit_pivot,P3_bilingual,0.5,0.5,12
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,P3_bilingual,0.3333333333333333,0.0,12
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,P3_bilingual,1.25,1.0,12
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,P3_bilingual,1.5,1.0,12
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,P3_bilingual,0.3333333333333333,0.0,12
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,P3_bilingual,0.5,0.0,12
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,P3_bilingual,0.6666666666666666,0.5,12
