judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,test,6,0.3,4,2,0.5,0.5,0.8333333333333334,0.33333333333333337,0.5,0.8333333333333333,0.33333333333333326,,0.8571428571428571,
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,calibration,2,0.3,4,2,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,test,6,0.3,4,2,1.0,0.5,0.5,0.0,0.5,0.5,0.0,,0.4,
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,Explicit English pivot,test,6,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.5714285714285715,
gpt-4o-mini,es-ES,main_ideas,P3_bilingual,Bilingual rubric,calibration,2,0.3,4,2,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,es-ES,main_ideas,P3_bilingual,Bilingual rubric,test,6,0.3,4,2,1.0,0.5,0.5,0.0,0.5,0.5,0.0,,0.5714285714285715,
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,calibration,2,0.3,4,3,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,test,6,0.3,4,3,1.0,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,,0.5,
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,calibration,2,0.3,4,3,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,test,6,0.3,4,3,1.0,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,,0.5,
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,Explicit English pivot,test,6,0.3,4,2,0.5,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333333,0.8333333333333333,0.0,0.8,0.8571428571428571,0.05714285714285705
gpt-4o-mini,tr,main_ideas,P3_bilingual,Bilingual rubric,calibration,2,0.3,4,3,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,tr,main_ideas,P3_bilingual,Bilingual rubric,test,6,0.3,4,3,1.0,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,,0.5,
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,calibration,2,0.3,4,3,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,test,6,0.3,4,3,1.0,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.16666666666666666,-0.33333333333333337,,,
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,test,6,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,Explicit English pivot,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,Explicit English pivot,test,6,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.5714285714285715,
gpt-4o-mini,vi,main_ideas,P3_bilingual,Bilingual rubric,calibration,2,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4o-mini,vi,main_ideas,P3_bilingual,Bilingual rubric,test,6,0.3,4,2,0.5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,,0.5,
