judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P1_target_rubric,0.5,0.5,8
gpt-4o-mini,tr,main_ideas,P0_direct_english,P1_target_rubric,0.0,0.0,8
gpt-4o-mini,vi,main_ideas,P0_direct_english,P1_target_rubric,0.75,1.0,8
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P2_explicit_pivot,0.375,0.0,8
gpt-4o-mini,tr,main_ideas,P0_direct_english,P2_explicit_pivot,0.75,1.0,8
gpt-4o-mini,vi,main_ideas,P0_direct_english,P2_explicit_pivot,0.375,0.0,8
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,P3_bilingual,0.125,0.0,8
gpt-4o-mini,tr,main_ideas,P0_direct_english,P3_bilingual,0.125,0.0,8
gpt-4o-mini,vi,main_ideas,P0_direct_english,P3_bilingual,0.375,0.0,8
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,P2_explicit_pivot,0.625,1.0,8
gpt-4o-mini,tr,main_ideas,P1_target_rubric,P2_explicit_pivot,0.75,1.0,8
gpt-4o-mini,vi,main_ideas,P1_target_rubric,P2_explicit_pivot,1.125,1.0,8
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,P3_bilingual,0.375,0.0,8
gpt-4o-mini,tr,main_ideas,P1_target_rubric,P3_bilingual,0.125,0.0,8
gpt-4o-mini,vi,main_ideas,P1_target_rubric,P3_bilingual,0.875,1.0,8
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,P3_bilingual,0.25,0.0,8
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,P3_bilingual,0.625,1.0,8
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,P3_bilingual,0.5,0.5,8
