judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,4.666666666666667,4.533333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,-0.032066376613019976,-0.27579296409708365,0.2003129362049673,0.411,0.004444444444444473,-0.1157490079365079,0.125,0.509
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,4.666666666666667,4.6,-0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,-0.07346389507586842,-0.31599579403333605,0.13782927026268507,0.243,-0.026666666666666616,-0.13586856617647064,0.07420593386876277,0.294
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,4.666666666666667,4.533333333333333,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.16627033888165865,6.765080145437483e-05,0.3661247098887486,0.975,0.10222222222222221,0.002262443438914019,0.21536804447988656,0.978
gpt-4o-mini,en-de,translation_quality_ref_free,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,4.533333333333333,4.6,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,-0.04139751846284845,-0.2585222492924374,0.1632331646200255,0.352,-0.03111111111111109,-0.13888888888888884,0.0678733031674208,0.274
gpt-4o-mini,en-de,translation_quality_ref_free,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,4.533333333333333,4.533333333333333,0.0,0.13333333333333333,0.13333333333333333,0.0,0.19833671549467863,0.0,0.4324942931407551,0.97,0.09777777777777774,0.0,0.21301219205630972,0.972
gpt-4o-mini,en-de,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,4.6,4.533333333333333,-0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.23973423395752708,0.05072291309159019,0.501880862465211,0.985,0.12888888888888883,0.024864705882352966,0.2577812971342383,0.984
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,4.566666666666666,4.433333333333334,-0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.175721579935205,0.018782667827437847,0.37635889695561403,0.982,0.0888888888888889,0.009049773755656132,0.1920262896825397,0.981
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,4.566666666666666,4.366666666666666,-0.2,0.26666666666666666,0.26666666666666666,0.0,0.011720688959705215,-0.2426311199314618,0.24931385492151084,0.563,0.00666666666666671,-0.09999999999999998,0.14063946759259258,0.582
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,4.566666666666666,4.466666666666667,-0.1,0.1,0.1,0.0,0.15475223963490733,0.0,0.34556735896152174,0.95,0.07777777777777783,0.0,0.17857142857142855,0.953
gpt-4o-mini,en-ru,translation_quality_ref_free,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,4.433333333333334,4.366666666666666,-0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,-0.1640008909754998,-0.4595569115346496,0.14707479072599322,0.135,-0.0822222222222222,-0.23685996665872827,0.0625,0.135
gpt-4o-mini,en-ru,translation_quality_ref_free,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,4.433333333333334,4.466666666666667,0.03333333333333333,0.1,0.1,0.0,-0.02096934030029768,-0.20586209951524365,0.16399593999757678,0.318,-0.011111111111111072,-0.10268337747778539,0.08466021825396824,0.347
gpt-4o-mini,en-ru,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,4.366666666666666,4.466666666666667,0.1,0.23333333333333334,0.23333333333333334,0.0,0.14303155067520212,-0.08779907571511068,0.3959350089526226,0.882,0.07111111111111112,-0.0401785714285714,0.20224479166666662,0.868
gpt-4o-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,4.166666666666667,4.133333333333334,-0.03333333333333333,0.7,0.5333333333333333,0.13333333333333333,-0.4078667260282005,-0.8230178473548757,0.01970364660493345,0.034,-0.21999999999999997,-0.4402915135850991,-0.006737264283703935,0.022
