judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P1_target_rubric,0.54,0.5,50
gpt-4o-mini,en-US,grammar,P0_direct_english,P1_target_rubric,0.6,1.0,50
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P1_target_rubric,0.5,0.0,50
gpt-4o-mini,es-ES,grammar,P0_direct_english,P1_target_rubric,0.52,0.0,50
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P1_target_rubric,0.34,0.0,50
gpt-4o-mini,tr,grammar,P0_direct_english,P1_target_rubric,0.56,0.5,50
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P1_target_rubric,0.58,0.5,50
gpt-4o-mini,vi,grammar,P0_direct_english,P1_target_rubric,0.66,1.0,50
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P2_explicit_pivot,0.38,0.0,50
gpt-4o-mini,en-US,grammar,P0_direct_english,P2_explicit_pivot,0.34,0.0,50
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P2_explicit_pivot,0.62,0.0,50
gpt-4o-mini,es-ES,grammar,P0_direct_english,P2_explicit_pivot,0.8,1.0,50
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P2_explicit_pivot,0.62,0.0,50
gpt-4o-mini,tr,grammar,P0_direct_english,P2_explicit_pivot,0.84,1.0,50
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P2_explicit_pivot,0.88,1.0,50
gpt-4o-mini,vi,grammar,P0_direct_english,P2_explicit_pivot,0.7,1.0,50
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P3_bilingual,0.24,0.0,50
gpt-4o-mini,en-US,grammar,P0_direct_english,P3_bilingual,0.12,0.0,50
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P3_bilingual,0.26,0.0,50
gpt-4o-mini,es-ES,grammar,P0_direct_english,P3_bilingual,0.2,0.0,50
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P3_bilingual,0.18,0.0,50
gpt-4o-mini,tr,grammar,P0_direct_english,P3_bilingual,0.26,0.0,50
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P3_bilingual,0.24,0.0,50
gpt-4o-mini,vi,grammar,P0_direct_english,P3_bilingual,0.22,0.0,50
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.88,1.0,50
gpt-4o-mini,en-US,grammar,P1_target_rubric,P2_explicit_pivot,0.94,1.0,50
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.64,0.5,50
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P2_explicit_pivot,0.84,1.0,50
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.8,1.0,50
gpt-4o-mini,tr,grammar,P1_target_rubric,P2_explicit_pivot,0.96,1.0,50
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P2_explicit_pivot,0.9,1.0,50
gpt-4o-mini,vi,grammar,P1_target_rubric,P2_explicit_pivot,1.2,1.0,50
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P3_bilingual,0.54,0.0,50
gpt-4o-mini,en-US,grammar,P1_target_rubric,P3_bilingual,0.64,1.0,50
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P3_bilingual,0.28,0.0,50
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P3_bilingual,0.4,0.0,50
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P3_bilingual,0.2,0.0,50
gpt-4o-mini,tr,grammar,P1_target_rubric,P3_bilingual,0.38,0.0,50
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P3_bilingual,0.58,0.5,50
gpt-4o-mini,vi,grammar,P1_target_rubric,P3_bilingual,0.76,1.0,50
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,P3_bilingual,0.42,0.0,50
gpt-4o-mini,en-US,grammar,P2_explicit_pivot,P3_bilingual,0.3,0.0,50
gpt-4o-mini,es-ES,comprehensibility,P2_explicit_pivot,P3_bilingual,0.64,0.0,50
gpt-4o-mini,es-ES,grammar,P2_explicit_pivot,P3_bilingual,0.76,1.0,50
gpt-4o-mini,tr,comprehensibility,P2_explicit_pivot,P3_bilingual,0.64,0.0,50
gpt-4o-mini,tr,grammar,P2_explicit_pivot,P3_bilingual,0.9,1.0,50
gpt-4o-mini,vi,comprehensibility,P2_explicit_pivot,P3_bilingual,0.96,1.0,50
gpt-4o-mini,vi,grammar,P2_explicit_pivot,P3_bilingual,0.72,1.0,50
