judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-de,translation_quality,P0_direct_english,Direct English rubric,30,30,1.0,0.5,4.066666666666666,0.3875851160999636,0.12808895174590398,0.6102964697320744,0.6733333333333333,0.0020082
gpt-4o-mini,en-de,translation_quality,P1_target_rubric,Target-language rubric,30,30,1.0,0.5,3.966666666666667,0.3181260124932406,0.15161960871578067,0.4651946776754619,0.5955555555555555,0.002385000000000001
gpt-4o-mini,en-de,translation_quality,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,3.8666666666666667,0.3984095364447979,0.12647821952425684,0.6299827556778416,0.6777777777777778,0.00198825
gpt-4o-mini,en-de,translation_quality,P3_bilingual,Bilingual rubric,30,30,1.0,0.5,3.8666666666666667,0.47059105250452643,0.2984440079997103,0.6682885073699908,0.6888888888888889,0.0024498
gpt-4o-mini,en-ru,translation_quality,P0_direct_english,Direct English rubric,30,30,1.0,0.5,3.6666666666666665,0.1649587654623075,-0.22310032643658007,0.4823683986167813,0.5733333333333334,0.00209985
gpt-4o-mini,en-ru,translation_quality,P1_target_rubric,Target-language rubric,30,30,1.0,0.5,3.7666666666666666,0.3201932156205854,-0.0053653047083863405,0.5738336755214819,0.6488888888888888,0.00228525
gpt-4o-mini,en-ru,translation_quality,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,3.6666666666666665,0.13489831320819273,-0.25806986956197814,0.4780096689919156,0.5644444444444444,0.00209025
gpt-4o-mini,en-ru,translation_quality,P3_bilingual,Bilingual rubric,30,30,1.0,0.5,3.6,0.1590888121045485,-0.2262153660303055,0.48913428707688755,0.5755555555555556,0.0025381499999999994
gpt-4o-mini,zh-en,translation_quality,P0_direct_english,Direct English rubric,30,30,1.0,0.5,3.533333333333333,0.354159264299534,0.0,0.6893904826425128,0.6933333333333334,0.002058
gpt-4o-mini,zh-en,translation_quality,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,3.533333333333333,0.30351476425573126,-0.03488217512662792,0.6423963610413571,0.6688888888888889,0.0020331
