judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P1_target_rubric,0.5,0.5,6
gpt-4o-mini,en-US,grammar,P0_direct_english,P1_target_rubric,0.6666666666666666,1.0,6
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P1_target_rubric,0.6666666666666666,1.0,6
gpt-4o-mini,es-ES,grammar,P0_direct_english,P1_target_rubric,0.16666666666666666,0.0,6
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P1_target_rubric,0.16666666666666666,0.0,6
gpt-4o-mini,tr,grammar,P0_direct_english,P1_target_rubric,0.16666666666666666,0.0,6
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P1_target_rubric,0.5,0.5,6
gpt-4o-mini,vi,grammar,P0_direct_english,P1_target_rubric,0.6666666666666666,0.5,6
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.3333333333333333,0.0,6
gpt-4o-mini,en-US,grammar,P0_direct_english,P2_pivot_in_prompt,1.0,0.5,6
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.16666666666666666,0.0,6
gpt-4o-mini,es-ES,grammar,P0_direct_english,P2_pivot_in_prompt,0.8333333333333334,0.5,6
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.3333333333333333,0.0,6
gpt-4o-mini,tr,grammar,P0_direct_english,P2_pivot_in_prompt,0.3333333333333333,0.0,6
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.5,0.5,6
gpt-4o-mini,vi,grammar,P0_direct_english,P2_pivot_in_prompt,0.3333333333333333,0.0,6
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P3_bilingual,0.3333333333333333,0.0,6
gpt-4o-mini,en-US,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P3_bilingual,0.0,0.0,6
gpt-4o-mini,es-ES,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P3_bilingual,0.0,0.0,6
gpt-4o-mini,tr,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P3_bilingual,0.0,0.0,6
gpt-4o-mini,vi,grammar,P0_direct_english,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,0.8333333333333334,1.0,6
gpt-4o-mini,en-US,grammar,P1_target_rubric,P2_pivot_in_prompt,1.3333333333333333,1.0,6
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,0.8333333333333334,1.0,6
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P2_pivot_in_prompt,1.0,1.0,6
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,0.5,0.5,6
gpt-4o-mini,tr,grammar,P1_target_rubric,P2_pivot_in_prompt,0.16666666666666666,0.0,6
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,1.0,1.0,6
gpt-4o-mini,vi,grammar,P1_target_rubric,P2_pivot_in_prompt,1.0,1.0,6
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,en-US,grammar,P1_target_rubric,P3_bilingual,0.5,0.5,6
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P3_bilingual,0.6666666666666666,1.0,6
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P3_bilingual,0.3333333333333333,0.0,6
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,tr,grammar,P1_target_rubric,P3_bilingual,0.0,0.0,6
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P3_bilingual,0.5,0.5,6
gpt-4o-mini,vi,grammar,P1_target_rubric,P3_bilingual,0.8333333333333334,1.0,6
gpt-4o-mini,en-US,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.6666666666666666,1.0,6
gpt-4o-mini,en-US,grammar,P2_pivot_in_prompt,P3_bilingual,0.8333333333333334,0.5,6
gpt-4o-mini,es-ES,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,es-ES,grammar,P2_pivot_in_prompt,P3_bilingual,0.6666666666666666,0.5,6
gpt-4o-mini,tr,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.3333333333333333,0.0,6
gpt-4o-mini,tr,grammar,P2_pivot_in_prompt,P3_bilingual,0.16666666666666666,0.0,6
gpt-4o-mini,vi,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.5,0.5,6
gpt-4o-mini,vi,grammar,P2_pivot_in_prompt,P3_bilingual,0.16666666666666666,0.0,6
