run,protocol,language,dimension,judge_model,system,user_template
candidate n50,P0_direct_english,es-ES,comprehensibility,gpt-4o-mini,You are a careful evaluator. Return valid JSON only.,"Task: summarization quality evaluation
Language of candidate summary: Spanish

Evaluation dimension: Comprehensibility
Rubric:
1 = very poor
2 = poor
3 = acceptable
4 = good
5 = excellent

Question:
Is the summary easy to understand as written?

Candidate summary:
<item text redacted>

Judge only the candidate summary. Do not infer facts from an unavailable source article.

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
candidate n50,P1_target_rubric,es-ES,comprehensibility,gpt-4o-mini,Eres un evaluador cuidadoso. Devuelve solo JSON valido.,"Tarea: evaluacion de la calidad de un resumen
Dimension de evaluacion: Comprehensibility

Pregunta:
El resumen es facil de entender tal como esta escrito?

Rubrica:
1 = muy deficiente
2 = deficiente
3 = aceptable
4 = bueno
5 = excelente

Resumen candidato:
<item text redacted>

Devuelve solo JSON con las claves score, label, confidence, rationale_brief. Usa label bad, borderline o good."
candidate n50,P3_bilingual,es-ES,comprehensibility,gpt-4o-mini,You are a careful bilingual evaluator. Return valid JSON only.,"Task / Task in target language: summarization quality evaluation / Tarea: evaluacion de la calidad de un resumen
Language / Target language: Spanish / es-ES

Evaluation dimension / Dimension de evaluacion:
Comprehensibility

Question:
Is the summary easy to understand as written?
Pregunta:
El resumen es facil de entender tal como esta escrito?

Rubric:
1 = very poor
2 = poor
3 = acceptable
4 = good
5 = excellent

Rubrica:
1 = muy deficiente
2 = deficiente
3 = aceptable
4 = bueno
5 = excelente

Candidate summary / Resumen candidato:
<item text redacted>

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
candidate n50,P2_explicit_pivot,es-ES,comprehensibility,gpt-4o-mini,You are a careful evaluator. Return valid JSON only.,"Task: summarization quality evaluation through an explicit English pivot
Original language of candidate summary: Spanish

The source and candidate summary have been translated into English for evaluation when a source is available.

Evaluation dimension: Comprehensibility
Question:
Is the summary easy to understand as written?

Important:
For grammar, fluency, or language-form dimensions, judge only what remains visible in the English translation.
Do not infer or directly score target-language grammar because the original wording is not shown in this protocol.

English translation of candidate summary:
<item text redacted>

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
candidate audit n25,P0_direct_english,es-ES,comprehensibility,gpt-4.1-mini,You are a careful evaluator. Return valid JSON only.,"Task: summarization quality evaluation
Language of candidate summary: Spanish

Evaluation dimension: Comprehensibility
Rubric:
1 = very poor
2 = poor
3 = acceptable
4 = good
5 = excellent

Question:
Is the summary easy to understand as written?

Candidate summary:
<item text redacted>

Judge only the candidate summary. Do not infer facts from an unavailable source article.

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
candidate audit n25,P1_target_rubric,es-ES,comprehensibility,gpt-4.1-mini,Eres un evaluador cuidadoso. Devuelve solo JSON valido.,"Tarea: evaluacion de la calidad de un resumen
Dimension de evaluacion: Comprehensibility

Pregunta:
El resumen es facil de entender tal como esta escrito?

Rubrica:
1 = muy deficiente
2 = deficiente
3 = aceptable
4 = bueno
5 = excelente

Resumen candidato:
<item text redacted>

Devuelve solo JSON con las claves score, label, confidence, rationale_brief. Usa label bad, borderline o good."
candidate audit n25,P3_bilingual,es-ES,comprehensibility,gpt-4.1-mini,You are a careful bilingual evaluator. Return valid JSON only.,"Task / Task in target language: summarization quality evaluation / Tarea: evaluacion de la calidad de un resumen
Language / Target language: Spanish / es-ES

Evaluation dimension / Dimension de evaluacion:
Comprehensibility

Question:
Is the summary easy to understand as written?
Pregunta:
El resumen es facil de entender tal como esta escrito?

Rubric:
1 = very poor
2 = poor
3 = acceptable
4 = good
5 = excellent

Rubrica:
1 = muy deficiente
2 = deficiente
3 = aceptable
4 = bueno
5 = excelente

Candidate summary / Resumen candidato:
<item text redacted>

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
candidate audit n25,P2_explicit_pivot,es-ES,comprehensibility,gpt-4.1-mini,You are a careful evaluator. Return valid JSON only.,"Task: summarization quality evaluation through an explicit English pivot
Original language of candidate summary: Spanish

The source and candidate summary have been translated into English for evaluation when a source is available.

Evaluation dimension: Comprehensibility
Question:
Is the summary easy to understand as written?

Important:
For grammar, fluency, or language-form dimensions, judge only what remains visible in the English translation.
Do not infer or directly score target-language grammar because the original wording is not shown in this protocol.

English translation of candidate summary:
<item text redacted>

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
semantic n30,P0_direct_english,es-ES,main_ideas,gpt-4o-mini,You are a careful evaluator. Return valid JSON only.,"Task: summarization quality evaluation
Language of candidate summary: Spanish

Evaluation dimension: Main ideas
Rubric:
1 = very poor
2 = poor
3 = acceptable
4 = good
5 = excellent

Question:
Does the summary capture the main idea or ideas of the source article?

Source text:
<item text redacted>

Candidate summary:
<item text redacted>

Judge the candidate summary against the source text.

Return JSON only:
{
  ""score"": integer from 1 to 5,
  ""label"": ""bad"" | ""borderline"" | ""good"",
  ""confidence"": number from 0 to 1,
  ""rationale_brief"": string of at most 18 words
}"
semantic n30,P1_target_rubric,es-ES,main_ideas,gpt-4o-mini,Eres un evaluador cuidadoso. Devuelve solo JSON valido.,"Tarea: evaluacion de la calidad de un resumen
Dimension de evaluacion: Main ideas

Pregunta:
El resumen captura la idea principal o las ideas principales del texto fuente?

Rubrica:
1 = muy deficiente
2 = deficiente
3 = aceptable
4 = bueno
5 = excelente

Texto fuente:
<item text redacted>

Resumen candidato:
<item text redacted>

Devuelve solo JSON con las claves score, label, confidence, rationale_brief. Usa label bad, borderline o good."
