control,prompt_id,item_id,language,dimension,protocol,same_prompt_text,score_a,score_b,abs_score_delta,same_raw_response,timestamp_a,timestamp_b,response_file_a,response_file_b
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P0_direct_english,True,1,2,1.0,False,2026-06-28T01:09:54.932395+00:00,2026-06-28T01:51:19.143013+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P1_target_rubric,True,1,2,1.0,False,2026-06-28T01:09:55.769240+00:00,2026-06-28T01:51:20.293174+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_001235_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_comprehensibility_001235_mt5_small,en-US,comprehensibility,P3_bilingual,True,1,1,0.0,True,2026-06-28T01:09:57.627138+00:00,2026-06-28T01:51:21.164292+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P0_direct_english,True,2,2,0.0,True,2026-06-28T01:10:03.428104+00:00,2026-06-28T01:50:23.424663+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P1_target_rubric,True,2,2,0.0,False,2026-06-28T01:10:04.822652+00:00,2026-06-28T01:50:24.596745+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_comprehensibility_007360_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_comprehensibility_007360_mt5_small,en-US,comprehensibility,P3_bilingual,True,2,2,0.0,False,2026-06-28T01:10:08.057899+00:00,2026-06-28T01:50:25.487725+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P0_direct_english,True,4,4,0.0,False,2026-06-28T01:11:10.028213+00:00,2026-06-28T01:53:20.538531+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P1_target_rubric,True,3,3,0.0,True,2026-06-28T01:11:11.158097+00:00,2026-06-28T01:53:22.271011+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_en-US_grammar_000525_mt5_small__P3_bilingual__gpt-4o-mini,seahorse_test_en-US_grammar_000525_mt5_small,en-US,grammar,P3_bilingual,True,4,4,0.0,True,2026-06-28T01:11:13.331436+00:00,2026-06-28T01:53:23.210290+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
exact original-text prompt repeat,seahorse_test_es-ES_comprehensibility_004852_mt5_small__P0_direct_english__gpt-4o-mini,seahorse_test_es-ES_comprehensibility_004852_mt5_small,es-ES,comprehensibility,P0_direct_english,True,3,2,1.0,False,2026-06-28T01:13:18.857159+00:00,2026-06-28T01:56:25.148333+00:00,data/responses/pilot_n20_openai_responses.jsonl,data/responses/candidate_n50_base_responses.jsonl
